Names,Birthday,Reignend,ReignStart,ReignSpan,Age
Prithvi Narayan Shah,1723-01-07,1775-01-11,1768-09-25,6.294448209066579,52.01201941176068
Pratap Singh Shah,1751-04-16,1777-11-17,1775-01-11,2.8501611942750364,26.590552851872385
Rana Bahadur Shah,1775-05-25,1799-03-08,1777-11-17,21.303654421377576,23.786936076716156
Girvan Yuddha Bikram Shah,1797-10-19,1816-11-20,1799-03-08,17.70330670718769,19.085949745716885
Rajendra Bikram Shah,1813-12-03,1847-05-12,1816-11-20,30.47290498778209,33.438058276350645
Surendra Bikram Shah,1829-10-20,1881-05-17,1847-05-12,34.01575665482522,51.57395429064252
Prithvi Bir Bikram Shah,1875-08-18,1911-12-11,1881-05-17,30.5659938260197,36.31286063368858
Tribhuvan Bir Bikram Shah(1st reign),1906-06-30,1950-11-07,1911-12-11,38.90839647631368,44.356831420220814
Gyanendra Bir Bikram Shah(1st reign),1946-07-07,1951-01-07,1950-11-07,0.16701232742629896,4.503857026496095
Tribhuvan Bir Bikram Shah(2nd reign),1906-06-30,1955-03-13,1951-01-07,4.178046092664463,48.70188984031157
Mahendra Bir Bikram Shah,1920-06-11,1972-01-31,1955-03-14,16.884672512098128,51.63966405881024
Birendra Bir Bikram Shah,1944-12-28,2001-06-01,1972-01-31,29.333935672874873,56.42552550702615
Dipendra Bir Bikram Shah[13],1971-06-27,2001-06-04,2001-06-01,0.008213721020965523,29.939013121419332
Gyanendra Bir Bikram Shah(2nd reign),1946-07-07,2008-05-28,2001-06-04,6.9816628678206945,61.8931257999822
